Index;Dominus;Nominum;Terrenum;MP;Civitas;Productio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C048;Regnum Portugalliæ;Regio Duri;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C049;Sultanatus Mamalucorum;Ægyptus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C049s;Sultanatus Mamalucorum;Ægyptus Meridionalis;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C050;Regnum Angliæ;Anglia Orientalis;Litus;1;Londinium;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C051;Satus Ordinis Teutonici;Estonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C052;Regnum Sueciæ;Finlandia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C053;Regnum Franciæ;Flandria;Litus;1;Brugæ;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C056;Sacrum Imperium Romanum;Frisia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C057;Sultanatus Hafsidarum;Tacapæ;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C058;Corona Castellæ;Gallæcia;Litus;1;Compostella;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C060;Regnum Gwynethensis;Wallia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C061;Regnum Scotiæ;Gallovidia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C062;Regnum Angliæ;Vasconia;Litus;1;Burdigala;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C063;Regnum Georgiæ;Georgia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C064;Regnum Sueciæ;Gothia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C066;Regnum Poloniæ;Polonia Maior;Litus;1;Gedanum;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C070;Regnum Scotiæ;Montes Scotici;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C071;Regnum Daniæ;Holsatia;Litus;1;Lubeca;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C072;Regnum Norvegiæ;Hordalandia;Litus;1;Bergen;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C073;Regnum Norvegiæ;Islandia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C075;Sultanatus Mamalucorum;Iudæa;Litus;1;Hyerosolyma;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C076;Regnum Daniæ;Iutia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C077;Respublica Novogardiensis;Ladoga;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C078;Status Pontificii;Latium;Litus;1;Roma;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C079;Regnum Angliæ;Lagenia;Litus;1;Dublinium;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C081;Sultanatus Hafsidarum;Leptis Magna;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C082;Respublica Genuensis;Liguria;Litus;1;Genua;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C087;Regnum Scotiæ;Campi Scotici;Litus;1;Edinburgum;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C088;Sultanatus Rumi;Lycia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C089;Imperium Byzantinum;Lydia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C090;Imperium Byzantinum;Macedonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C092;Sultanatus Mamalucorum;Marmarica;Litus;1;Alexandria;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C093;Sultanatus Marinidorum;Massa;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C096;Regnum Momoniæ;Momonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C097;Corona Castellæ;Murcia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C098;Imperium Byzantinum;Mysia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C100;Regnum Franciæ;Normannia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C101;Regnum Sueciæ;Norrlandia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C103;Regnum Franciæ;Occitania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C105;Emiratus Zianidarum;Orania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C107;Comitatus Tripoliatanus;Palæstina;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C109;Sultanatus Rumi;Paphlagonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C110;Imperium Byzantinum;Peloponnesus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C115;Ducatus Pomeranie;Pomerania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C116;Imperium Trebizondense;Pontus;Litus;1;Trapezuntis;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C117;Regnum Siciliæ;Apulia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C118;Comitatus Provinciæ;Provincia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C119;Satus Ordinis Teutonici;Borussia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C120;Regnum Serbiæ;Rascia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C121;Imperium Byzantinum;Rhodus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C122;Sultanatus Marinidorum;Mons Rif;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C123;Caliphatus Almohadarum;Sahara Occidentalis;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C124;Iudicatus Arborensis;Sardinia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C125;Sacrum Imperium Romanum;Saxonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C126;Regnum Daniæ;Scania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C128;Regnum Siciliæ;Sicilia;Litus;1;Panormus;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C130;Sultanatus Mamalucorum;Sinai;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C130s;Sultanatus Mamalucorum;Sinai Meridionalis;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C134;Chanatus Hordæ Aureæ;Steppa Pontica;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C136;Regnum Sueciæ;Suealandia;Litus;1;Stockholmia;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C137;Principatus Antiochenus;Syria;Litus;1;Antiochia;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C139;Chanatus Hordæ Aureæ;Tartaria;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C141;Ducatus Athenarum;Thessalia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C142;Imperium Byzantinum;Thracia;Litus;1;Constantinopolis;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C144;Scychiatus Tangeris;Tingitana;Litus;1;Tingis;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C145;Communia Florentina;Tuscia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C147;Sultanatus Hafsidarum;Tripolitania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C149;Sultanatus Hafsidarum;Tunisia;Litus;1;Tunes;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C150;Regnum Ultoniæ;Ultonia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C153;Corona Aragoniæ;Valentinus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C154;Respublica Veneta;Venetia;Litus;1;Venetia;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C155;Regnum Norvegiæ;Regio Viken;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C157;Regnum Angliæ;Wessexia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C158;Regnum Angliæ;Comitatus Eboracensis;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C162;Sharifatus Meccae;Zubaida;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
